testCaseId,moduleNo,module
EQEV-50442_platform_Module_04,1,AdminUI
EQEV-50442_platform_Module_04,2,BusyHour
EQEV-50442_platform_Module_04,3,alarm
EQEV-50442_platform_Module_04,4,alarmcfg
EQEV-50442_platform_Module_04,5,common
EQEV-50442_platform_Module_04,6,diskmanager
EQEV-50442_platform_Module_04,7,dwhmanager
EQEV-50442_platform_Module_04,8,ebsmanager
EQEV-50442_platform_Module_04,9,export
EQEV-50442_platform_Module_04,10,helpset_stats
EQEV-50442_platform_Module_04,11,licensing
EQEV-50442_platform_Module_04,12,monitoring
EQEV-50442_platform_Module_04,13,repository
EQEV-50442_platform_Module_04,14,scheduler
EQEV-50442_platform_Module_04,15,statlibs
EQEV-50442_platform_Module_04,16,symboliclinkcreator
EQEV-50442_platform_Module_04,17,uncompress
EQEV-50442_platform_Module_04,18,libs
