testCaseId,moduleNo,module
EQEV-50442_platform_Module_03,1,AdminUI
EQEV-50442_platform_Module_03,2,BusyHour
EQEV-50442_platform_Module_03,3,alarm
EQEV-50442_platform_Module_03,4,alarmcfg
EQEV-50442_platform_Module_03,5,common
EQEV-50442_platform_Module_03,6,diskmanager
EQEV-50442_platform_Module_03,7,dwhmanager
EQEV-50442_platform_Module_03,8,ebsmanager
EQEV-50442_platform_Module_03,9,export
EQEV-50442_platform_Module_03,10,helpset_stats
EQEV-50442_platform_Module_03,11,licensing
EQEV-50442_platform_Module_03,12,monitoring
EQEV-50442_platform_Module_03,13,repository
EQEV-50442_platform_Module_03,14,scheduler
EQEV-50442_platform_Module_03,15,statlibs
EQEV-50442_platform_Module_03,16,symboliclinkcreator
EQEV-50442_platform_Module_03,17,uncompress
EQEV-50442_platform_Module_03,18,libs
